Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2026-08-03 16:38:09,false,"Dobra (Szczecinska) Cycling","6.75","365","00:32:02","130","155","2.6","--","--","12.6","26.6","43","43","--","--","--","0.0","--","--","--","No","00:05:57.2","2","--","--","--","00:28:08","00:32:02","5","35"
Running,2026-08-02 15:03:05,false,"Dobra (Szczecinska) Running","5.04","491","00:28:47","174","200","4.5","150","159","5:43","4:48","28","28","1.17","5:46","414","0.0","407","488","4,282","No","00:00:21.2","6","34","27","43","00:28:45","00:28:47","9","32"
Other,2026-07-30 19:01:11,false,"Dobra (Szczecinska) Mobility","0.03","264","01:07:44","82","117","0.3","0","131","0.0","--","--","--","2.33","--","--","0.0","--","--","54","No","01:07:44","1","--","--","--","00:00:00","01:07:44","8","14"
Cycling,2026-07-29 18:42:15,false,"Dobra (Szczecinska) Cycling","6.73","275","00:22:54","130","170","2.6","--","--","17.6","28.7","38","37","--","--","--","0.0","--","--","--","No","00:05:17.4","2","--","--","--","00:22:54","00:22:54","9","34"
Multisport,2026-07-25 11:16:18,false,"Dobra (Szczecinska) Multisport","19.36","808","01:34:04","--","173","2.7","--","--","12.3","--","103","99","--","--","--","0.0","--","--","--","No","--:--:--","2","--","--","--","--:--:--","01:34:37","3","39"
Running,2026-07-17 17:46:18,false,"Dobra (Szczecinska) - Regeneracja","3.38","454","00:27:13","169","189","4.3","128","163","8:04","3:53","9","7","0.97","8:06","331","0.0","279","654","3,614","No","00:03:54.4","4","--","--","--","00:24:12","00:27:13","12","16"
Cycling,2026-07-11 15:36:24,false,"Dobra (Szczecinska) Cycling","27.27","1,563","02:29:03","132","179","3.9","--","--","11.0","32.3","149","170","--","--","--","0.0","--","--","--","No","00:09:07.2","6","--","--","--","01:51:18","02:50:58","11","71"
Running,2026-07-05 17:09:37,false,"Dobra (Szczecinska) Running","2.03","203","00:13:17","152","183","3.0","132","173","6:33","3:43","7","5","1.16","6:42","396","0.0","344","686","1,868","No","00:00:11.8","3","--","--","--","00:11:53","00:13:17","11","16"
Cycling,2026-07-04 16:39:14,false,"Szczecin Cycling","13.83","647","00:56:33","132","180","3.2","--","--","14.7","38.0","86","86","--","--","--","0.0","--","--","--","No","00:09:34.6","3","--","--","--","00:41:30","00:56:33","7","48"
Cycling,2026-07-04 14:16:59,false,"Dobra (Szczecinska) Cycling","13.20","463","00:48:51","121","146","2.3","--","--","16.2","29.9","68","54","--","--","--","0.0","--","--","--","No","00:13:05","3","--","--","--","00:45:08","00:48:51","10","30"
Other,2026-07-01 07:07:43,false,"Dobra (Szczecinska) Mobility","0.42","53","00:13:37","80","107","0.1","6","155","1.8","14.5","3","5","5.18","--","--","0.0","--","--","86","No","00:13:37","1","--","--","--","00:02:41","00:13:37","9","16"
Other,2026-06-29 07:16:06,false,"Mobility","0.00","80","00:16:01","87","113","0.2","2","107","--","--","--","--","0.00","--","--","0.0","--","--","96","No","00:16:01","1","--","--","--","00:00:00","00:16:01","'-0","2"
Cycling,2026-06-16 14:51:48,false,"Dobra (Szczecinska) Cycling","18.44","812","00:59:03","150","182","4.3","--","--","18.7","42.3","128","130","--","--","--","0.0","--","--","--","No","00:13:26","4","33","22","42","00:51:14","00:59:03","4","39"
Cycling,2026-06-11 17:00:06,false,"Dobra (Szczecinska) Cycling","4.34","229","00:20:23","125","149","2.2","--","--","12.8","26.4","10","15","--","--","--","0.0","--","--","--","No","00:20:23","1","--","--","--","00:15:35","00:20:23","7","23"
Cycling,2026-06-11 16:07:58,false,"Dobra (Szczecinska) Cycling","3.71","179","00:13:16","136","155","2.4","--","--","16.8","22.3","17","7","--","--","--","0.0","--","--","--","No","00:13:16","1","--","--","--","00:11:47","00:13:16","4","20"
Walking,2026-06-05 14:56:06,false,"Radkow Walking","5.01","758","02:11:21","99","151","2.0","42","160","26:12","1:17","169","165","0.96","--","--","0.0","--","--","6,732","No","00:00:10.7","6","--","--","--","00:59:10","02:37:03","760","904"
Walking,2026-06-04 17:54:26,false,"Kudowa-Zdroj Walking","4.02","475","01:32:52","91","141","0.9","45","160","23:07","7:40","42","75","0.97","--","--","0.0","--","--","4,950","No","00:00:15.2","5","--","--","--","00:47:26","02:14:18","382","449"
Running,2026-05-26 18:10:28,false,"Dobra (Szczecinska) Running","3.82","397","00:29:49","154","178","3.3","135","149","7:49","5:50","14","16","0.95","8:31","283","0.0","265","409","4,052","No","00:07:03.5","4","33","18","41","00:29:03","00:29:49","17","28"
Cycling,2026-05-24 13:25:03,false,"Dobra (Szczecinska) Cycling","14.61","667","01:12:12","122","168","2.9","--","--","12.1","34.4","62","58","--","--","--","0.0","--","--","--","No","00:15:19","3","--","--","--","00:50:20","01:12:12","4","27"
Walking,2026-04-22 14:05:32,false,"Dobra (Szczecinska) Walking","2.85","254","00:39:25","101","139","1.1","80","158","13:50","5:54","22","23","0.90","--","--","0.0","--","--","3,458","No","00:10:29","3","--","--","--","00:33:46","00:39:29","5","25"
